Sample	NK_cells	CD4_T_cells	CD8_T_cells	B_cells	Macrophages	Neutrophils	Endothelium	Tumor
107-A1	11841	5803	30788	498	8644	4988	6181	21694
107-A2	4556	2073	13413	226	4450	2124	3802	16874
107-A3	25078	11241	61545	1310	26470	9156	13290	30199
107-A4	9771	3378	27484	588	11962	3464	3503	23199
117-A1	5004	47699	46370	3776	30841	9940	4680	631
117-A2	22477	236283	583644	106857	59713	15199	5113	16233
117-A3	0	142747	76421	11292	137723	15968	27001	12115
117-A4	0	325925	293974	72691	189996	315537	16832	7144
120-A1	13904	3397	3149	342	158927	6199	7486	1762
120-A2	30854	8716	5295	0	218871	28817	2650	1236
120-A3	16158	7098	13997	140	159485	18654	4124	1201
124-A1	24575	24027	11635	1180	48778	23865	60059	12186
124-A2	5955	12811	5999	679	9512	5393	12700	8360
124-A3	7812	11412	5721	201	12235	4033	12743	10816
154-A1	15266	158518	593079	6756	100862	3075	12895	14548
154-A2	10163	74005	238601	2192	50925	3064	8417	10044
154-A3	22017	82030	381493	4740	105438	8170	4122	27992
154-A4	15463	79475	161012	6432	50975	18457	2630	228290
181-A1	43780	27738	31336	1561	42246	14201	41676	9232
181-A2	21541	9598	5599	570	11614	3733	8229	992
181-A4	14282	50411	253893	1371	32782	3640	10535	8084
